content,length,word_count,type
PRM/KA/RERA/1251/446/PR/171014/000242,37,1,visible_text
August Ventures Private Limited,31,4,visible_text
August Grand,12,2,visible_text
31/12/2018,10,1,visible_text
31-12-2018,10,1,visible_text
12,2,1,visible_text
PR/KN/170731/000559,19,1,visible_text
PRM/KA/RERA/1251/308/PR/171015/000559,37,1,visible_text
SAIVEN DEVELOPERS AND CONSTRUCTIONS PVT LTD,43,6,visible_text
SAIVEN SIESTA,13,2,visible_text
Anekal,6,1,visible_text
31/12/2020,10,1,visible_text
31-12-2019 - 31-12-2020,23,3,visible_text
13,2,1,visible_text
PR/KN/170731/000599,19,1,visible_text
PRM/KA/RERA/1251/308/PR/171014/000599,37,1,visible_text
Sanchaya Land And Estate Pvt Ltd,32,6,visible_text
THE GREENS PHASE II,19,4,visible_text
31/03/2016,10,1,visible_text
31-03-2016,10,1,visible_text
14,2,1,visible_text
PR/KN/170726/000049,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170824/000049,37,1,visible_text
Chartered Housing Pvt Ltd,25,4,visible_text
Chartered Hummingbird,21,2,visible_text
15,2,1,visible_text
PR/KN/170803/000932,19,1,visible_text
PRM/KA/RERA/1251/308/PR/171222/000932,37,1,visible_text
ARATT GRAND TOWN,16,3,visible_text
22/12/2017,10,1,visible_text
27/12/2018,10,1,visible_text
27-12-2018,10,1,visible_text
16,2,1,visible_text
PR/KN/170731/000178,19,1,visible_text
PRM/KA/RERA/1251/309/PR/171026/000178,37,1,visible_text
creative & Srivaru builders,27,4,visible_text
SREE PALACE,11,2,visible_text
26/10/2017,10,1,visible_text
17,2,1,visible_text
PR/KN/170728/000047,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170907/000047,37,1,visible_text
Royaume Estates Private Limited,31,4,visible_text
Skylark Royaume,15,2,visible_text
07/09/2017,10,1,visible_text
30/09/2022,10,1,visible_text
31-12-2021,10,1,visible_text
31-12-2021 - 30-09-2022,23,3,visible_text
18,2,1,visible_text
PR/KN/170731/000041,19,1,visible_text
PRM/KA/RERA/1251/308/PR/171027/000041,37,1,visible_text
UNITECH LTD,11,2,visible_text
UNIWORLD RESORTS,16,2,visible_text
27/10/2017,10,1,visible_text
30/12/2023,10,1,visible_text
31-03-2023,10,1,visible_text
31-03-2023 - 31-12-2023,23,3,visible_text
19,2,1,visible_text
PR/KN/170728/000068,19,1,visible_text
PRM/KA/RERA/1251/309/PR/170824/000068,37,1,visible_text
UNICON SHELTERS PVT LTD,23,4,visible_text
UNICON NORTH BROOKS 46,22,4,visible_text
TRANSFERED,10,1,visible_text
30-12-2020,10,1,visible_text
30-12-2020 - 30-09-2021,23,3,visible_text
30-09-2021 - 30-09-2022,23,3,visible_text
20,2,1,visible_text
PR/KN/170728/000061,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170915/000061,37,1,visible_text
Mahendra Homes Pvt Ltd,22,4,visible_text
Mahendra AARNA,14,2,visible_text
15/09/2017,10,1,visible_text
21,2,1,visible_text
PR/KN/170728/000055,19,1,visible_text
Max,3,1,visible_text
MAX 11,6,2,visible_text
Your file is rejected as there are no details,45,9,visible_text
17/08/2021,10,1,visible_text
17-08-2021,10,1,visible_text
22,2,1,visible_text
PR/KN/170731/000639,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171015/000639,37,1,visible_text
DSR Infrastructure Pvt.Ltd.,27,3,visible_text
DSR LOTUS TOWERS,16,3,visible_text
30-09-2019,10,1,visible_text
23,2,1,visible_text
PR/KN/170731/000662,19,1,visible_text
PRM/KA/RERA/1251/309/PR/171014/000662,37,1,visible_text
hinduja realty ventures limited,31,4,visible_text
ecopolis Block-2,16,2,visible_text
31/03/2019,10,1,visible_text
31-03-2019,10,1,visible_text
24,2,1,visible_text
PR/KN/170726/000057,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170824/000057,37,1,visible_text
Prestige Estates Projects Limited,33,4,visible_text
PRESTIGE BOULEVARD,18,2,visible_text
25/12/2019,10,1,visible_text
25-12-2019,10,1,visible_text
25,2,1,visible_text
PR/KN/170726/000058,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170824/000058,37,1,visible_text
Prestige Kew Gardens,20,3,visible_text
26,2,1,visible_text
PR/KN/170731/000701,19,1,visible_text
PRM/KA/RERA/1251/308/PR/171015/000701,37,1,visible_text
THE GREENS PHASE I,18,4,visible_text
31/12/2014,10,1,visible_text
31-12-2014,10,1,visible_text
27,2,1,visible_text
PR/KN/170729/000063,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170915/000063,37,1,visible_text
Rajarajeshware builddcon private limited,40,4,visible_text
MANIKCHAND 117FF,16,2,visible_text
31/03/2024,10,1,visible_text
31-07-2020,10,1,visible_text
31-07-2020 -,12,2,visible_text
30-04-2021 - 30-04-2022,23,3,visible_text
30-04-2022 - 31-03-2024,23,3,visible_text
28,2,1,visible_text
PR/KN/170729/000064,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171014/000064,37,1,visible_text
SALARPURIA PROPERTIES PRIVATE LIMITED,37,4,visible_text
"DIVINITY, a project jointly promoted by Salarpuria and Sattva Group",67,10,visible_text
30/03/2022,10,1,visible_text
30-06-2021,10,1,visible_text
30-06-2021 - 30-03-2022,23,3,visible_text
29,2,1,visible_text
PR/KN/170729/000069,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171021/000069,37,1,visible_text
Value Designbuild Private Limited,33,4,visible_text
VDB AZURE,9,2,visible_text
30/12/2019,10,1,visible_text
31-12-2018 - 30-12-2019,23,3,visible_text
30,2,1,visible_text
PR/KN/170728/000120,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170913/000120,37,1,visible_text
Sobha Limited,13,2,visible_text
Sobha Silicon Oasis Phase 2 Wing 7,34,7,visible_text
01/01/2020,10,1,visible_text
01-01-2020,10,1,visible_text
31,2,1,visible_text
PR/KN/170731/000273,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171014/000273,37,1,visible_text
Griha Promoters Pvt. Ltd,24,4,visible_text
Griha Unnathi,13,2,visible_text
30/06/2020,10,1,visible_text
30-06-2019 - 30-06-2020,23,3,visible_text
32,2,1,visible_text
PR/KN/170727/000072,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170905/000072,37,1,visible_text
Goodhome Realty Limited,23,3,visible_text
Peninsula Heights,17,2,visible_text
05/09/2017,10,1,visible_text
31-03-2019 - 30-06-2019,23,3,visible_text
33,2,1,visible_text
PR/KN/170728/000155,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170915/000155,37,1,visible_text
Adarsh Developers,17,2,visible_text
Adarsh Premia - Phase 1,23,5,visible_text
06/03/2025,10,1,visible_text
30-06-2020,10,1,visible_text
30-06-2020 - 30-03-2021,23,3,visible_text
30-12-2020 - 30-12-2021,23,3,visible_text
30-03-2022 - 06-03-2025,23,3,visible_text
34,2,1,visible_text
PR/KN/170728/000118,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170824/000118,37,1,visible_text
Sobha Silicon Oasis Phase 3 Wing 8,34,7,visible_text
01/04/2021,10,1,visible_text
01-07-2020,10,1,visible_text
01-07-2020 - 01-04-2021,23,3,visible_text
35,2,1,visible_text
PR/KN/170729/000164,19,1,visible_text
PRM/KA/RERA/1251/309/PR/170915/000164,37,1,visible_text
Sobha Palm Court,16,3,visible_text
01/02/2022,10,1,visible_text
01-05-2021,10,1,visible_text
01-05-2021 - 01-02-2022,23,3,visible_text
36,2,1,visible_text
PR/KN/170727/000077,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170824/000077,37,1,visible_text
PRESTIGE ESTATES PROJECTS LIMITED,33,4,visible_text
PRESTIGE LEELA RESIDENCES,25,3,visible_text
30/11/2020,10,1,visible_text
31-05-2020,10,1,visible_text
31-05-2020 - 30-11-2020,23,3,visible_text
37,2,1,visible_text
PR/KN/170729/000234,19,1,visible_text
PRM/KA/RERA/1251/309/PR/170915/000234,37,1,visible_text
Sobha Indraprastha,18,2,visible_text
01/12/2018,10,1,visible_text
01-12-2018,10,1,visible_text
38,2,1,visible_text
PR/KN/170728/000121,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170913/000121,37,1,visible_text
Sobha Silicon Oasis Phase 5 Wing 10 & 11,40,9,visible_text
01/10/2021,10,1,visible_text
01-01-2021,10,1,visible_text
01-01-2021 - 01-10-2021,23,3,visible_text
39,2,1,visible_text
PR/KN/170728/000168,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000168,37,1,visible_text
Sobha Dream Acres - Palm Springs Phase 12 Wing 48 and 49,56,12,visible_text
01/07/2022,10,1,visible_text
01-10-2021,10,1,visible_text
01-10-2021 - 01-07-2022,23,3,visible_text
40,2,1,visible_text
PR/KN/170728/000153,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170913/000153,37,1,visible_text
Sobha Silicon Oasis Phase 6 Block 2 and 3 (Row house No. 1 to 8 & 11 to 17),75,19,visible_text
41,2,1,visible_text
PR/KN/170729/000221,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000221,37,1,visible_text
Sobha Dream Acres - Rain Forest Phase 3 Wing 5 and 6,52,12,visible_text
01/01/2021,10,1,visible_text
42,2,1,visible_text
PR/KN/170730/000231,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170916/000231,37,1,visible_text
Sobha Avenue,12,2,visible_text
16/09/2017,10,1,visible_text
01/07/2019,10,1,visible_text
01-07-2019,10,1,visible_text
43,2,1,visible_text
PR/KN/170728/000212,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170915/000212,37,1,visible_text
"Sobha Silicon Oasis Phase 7 Block 2 and 3 (Row House No. 9, 10)",63,14,visible_text
44,2,1,visible_text
PR/KN/170729/000091,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170907/000091,37,1,visible_text
Puravankara Limited,19,2,visible_text
Purva Palmbeach,15,2,visible_text
45,2,1,visible_text
PR/KN/170728/000119,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170913/000119,37,1,visible_text
Sobha Silicon Oasis Phase 4 Wing 9,34,7,visible_text
46,2,1,visible_text
PR/KN/170802/001023,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171214/001023,37,1,visible_text
Windsor Edifices Private Limited,32,4,visible_text
WINDSOR TROIKA,14,2,visible_text
14/12/2017,10,1,visible_text
30/09/2021,10,1,visible_text
30-06-2020 - 30-09-2021,23,3,visible_text
47,2,1,visible_text
PR/KN/170727/000082,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000082,37,1,visible_text
PRESTIGE SPENCER HEIGHTS,24,3,visible_text
48,2,1,visible_text
PR/KN/170729/000101,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170905/000101,37,1,visible_text
GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED,43,6,visible_text
MALHAR PATTERNS,15,2,visible_text
49,2,1,visible_text
PR/KN/170729/000193,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000193,37,1,visible_text
Sobha Dream Acres - Rain forest Phase 1 Wing 1 and 2,52,12,visible_text
01/11/2019,10,1,visible_text
01-11-2019,10,1,visible_text
50,2,1,visible_text
PR/KN/170729/000195,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000195,37,1,visible_text
Sobha Dream Acres - Tropical Greens Phase 8 Wing 43 and 44,58,12,visible_text
01/07/2021,10,1,visible_text
01-01-2021 - 01-07-2021,23,3,visible_text
51,2,1,visible_text
PR/KN/170731/000528,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171125/000528,37,1,visible_text
CHALET HOTELS LIMITED,21,3,visible_text
Raheja Vivarea,14,2,visible_text
25/11/2017,10,1,visible_text
10/07/2025,10,1,visible_text
31-07-2022,10,1,visible_text
31-07-2022 -,12,2,visible_text
30-04-2023 - 30-04-2024,23,3,visible_text
30-04-2024 - 10-07-2025,23,3,visible_text
52,2,1,visible_text
PR/KN/170729/000157,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000157,37,1,visible_text
Sobha Dream Acres - Rain Forest Phase 2 Wing 3 and 4,52,12,visible_text
01/10/2020,10,1,visible_text
01-10-2020,10,1,visible_text
53,2,1,visible_text
PR/KN/170728/000104,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170824/000104,37,1,visible_text
RBD Shelters LLP,16,3,visible_text
RBD STILLWATERS-BLOCK 2 WING C,30,5,visible_text
05/05/2022,10,1,visible_text
05-08-2021,10,1,visible_text
05-08-2021 - 05-05-2022,23,3,visible_text
54,2,1,visible_text
PR/KN/170727/000095,19,1,visible_text
Asset Handlers Private Limited,30,4,visible_text
Asset Northern Star,19,3,visible_text
Your File is Rejected. Regards. RERA Karnataka.,47,7,visible_text
30/03/2020,10,1,visible_text
30-03-2020,10,1,visible_text
55,2,1,visible_text
PR/KN/170729/000207,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000207,37,1,visible_text
Sobha Dream Acres - Palm Springs Phase 11 Wing 47,49,10,visible_text
01/12/2021,10,1,visible_text
01-03-2021,10,1,visible_text
01-03-2021 - 01-12-2021,23,3,visible_text
56,2,1,visible_text
PR/KN/170729/000293,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170916/000293,37,1,visible_text
Sobha Dream Acres - Rain forest Phase 15 Wing 17,48,10,visible_text
57,2,1,visible_text
PR/KN/170729/000223,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000223,37,1,visible_text
Sobha Dream Acres - Rain Forest Phase 5 Wing 16,47,10,visible_text
01/09/2019,10,1,visible_text
01-09-2019,10,1,visible_text
58,2,1,visible_text
PR/KN/170729/000165,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000165,37,1,visible_text
Sobha Dream Acres - Tropical Greens Phase 6 Wing 41,51,10,visible_text
01/11/2020,10,1,visible_text
01-05-2020,10,1,visible_text
01-05-2020 - 01-11-2020,23,3,visible_text
59,2,1,visible_text
PR/KN/170729/000206,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000206,37,1,visible_text
Sobha Dream Acres - Tropical Greens Phase 10 Wing 46,52,10,visible_text
01/01/2022,10,1,visible_text
01-07-2021,10,1,visible_text
01-07-2021 - 01-01-2022,23,3,visible_text
60,2,1,visible_text
PR/KN/170729/000170,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170915/000170,37,1,visible_text
Sobha Dream Acres - Palm Springs Phase 13 Wing 52,49,10,visible_text
04/04/2022,10,1,visible_text
04-07-2021,10,1,visible_text
04-07-2021 - 04-04-2022,23,3,visible_text
61,2,1,visible_text
PR/KN/170729/000156,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000156,37,1,visible_text
Sobha Dream Acres - Rain Forest Phase 4 Wing 11,47,10,visible_text
01/07/2020,10,1,visible_text
62,2,1,visible_text
PR/KN/170728/000109,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170913/000109,37,1,visible_text
PRESTIGE PINEWOOD,17,2,visible_text
63,2,1,visible_text
PR/KN/170729/000202,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000202,37,1,visible_text
Sobha Dream Acres - Tropical Greens Phase 7 Wing 42,51,10,visible_text
01-07-2020 - 01-01-2021,23,3,visible_text
64,2,1,visible_text
PR/KN/170729/000132,19,1,visible_text
SANJAY,6,1,visible_text
Mermit auriga,13,2,visible_text
29/12/2017,10,1,visible_text
29-12-2017,10,1,visible_text
65,2,1,visible_text
PR/KN/170729/000163,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000163,37,1,visible_text
Sobha Dream Acres - Tropical Greens Phase 9 Wing 45,51,10,visible_text
66,2,1,visible_text
PR/KN/170729/000160,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170915/000160,37,1,visible_text
Sobha Dream Acres - Palm Springs Phase 14 Wing 53,49,10,visible_text
67,2,1,visible_text
PR/KN/170731/000123,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171014/000123,37,1,visible_text
IndiaBuild Homes Private Limited,32,4,visible_text
The Central Regency Address,27,4,visible_text
28/05/2022,10,1,visible_text
31-08-2021,10,1,visible_text
31-08-2021 - 31-05-2022,23,3,visible_text
68,2,1,visible_text
PR/KN/170728/000135,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170905/000135,37,1,visible_text
Vinayaka Builders and Developers,32,4,visible_text
Century Indus Phase 2,21,4,visible_text
31-12-2018 - 31-12-2019,23,3,visible_text
69,2,1,visible_text
PR/KN/170730/000201,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171014/000201,37,1,visible_text
Sobha Clovelly,14,2,visible_text
01-04-2020,10,1,visible_text
01-04-2020 - 01-10-2020,23,3,visible_text
70,2,1,visible_text
PR/KN/170731/000186,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171014/000186,37,1,visible_text
GOLDEN GATE PROPERTIES LTD,26,4,visible_text
Golden Panorama,15,2,visible_text
71,2,1,visible_text
PR/KN/170728/000114,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170913/000114,37,1,visible_text
PRESTIGE NOTTINGHILL INVESTMENTS,32,3,visible_text
PRESTIGE FALCON CITY,20,3,visible_text
31/03/2020,10,1,visible_text
31-03-2020,10,1,visible_text
72,2,1,visible_text
PR/KN/170730/000257,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170916/000257,37,1,visible_text
Sobha 25 Richmond,17,3,visible_text
17/07/2019,10,1,visible_text
17-07-2019,10,1,visible_text
73,2,1,visible_text
PR/KN/170729/000320,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170830/000320,37,1,visible_text
BREN CORPORATION,16,2,visible_text
BREN EDGEWATERS,15,2,visible_text
30/08/2017,10,1,visible_text
74,2,1,visible_text
PR/KN/170729/000204,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170915/000204,37,1,visible_text
SRI NAKODA CONSTRUCTION LTD,27,4,visible_text
VALMARK ORCHARD SQUARE,22,3,visible_text
31-12-2020 - 30-06-2021,23,3,visible_text
75,2,1,visible_text
PR/KN/170730/000117,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170916/000117,37,1,visible_text
Sobha Valley View - Heritage,28,5,visible_text
01/02/2019,10,1,visible_text
01-02-2019,10,1,visible_text
76,2,1,visible_text
PR/KN/170731/000124,19,1,visible_text
PRM/KA/RERA/1251/308/PR/171014/000124,37,1,visible_text
IndiaBuild Developers Private Limited,37,4,visible_text
The County Address,18,3,visible_text
30/03/2021,10,1,visible_text
30-12-2019,10,1,visible_text
